date,sensor1,sensor2,sensor3
30/09/2024,PUNCDC-48-144,PUNHNZ-48-110.39999999999999,PUNH2-48-129.60000000000002
43/28/2024,PUNCDC-49-147,PUNHNZ-49-112.69999999999999,PUNH2-49-132.3
14/30/2024,PUNCDC-50-150,PUNHNZ-50-114.99999999999999,PUNH2-50-135
56/20/2024,PUNCDC-51-153,PUNHNZ-51-117.3,PUNH2-51-137.70000000000002
11/23/2024,PUNCDC-52-156,PUNHNZ-52-119.6,PUNH2-52-140.4
30/10/2023,PUNCDC-53-159,PUNHNZ-53-121.89999999999999,PUNH2-53-143.10000000000002
31/11/2023,PUNCDC-54-162,PUNHNZ-54-124.19999999999999,PUNH2-54-145.8
08/12/2023,PUNCDC-55-165,PUNHNZ-55-126.49999999999999,PUNH2-55-148.5
07/10/2024,PUNCDC-56-168,PUNHNZ-56-128.79999999999998,PUNH2-56-151.20000000000002
26/25/2023,PUNCDC-57-171,PUNHNZ-57-131.1,PUNH2-57-153.9
13/28/2023,PUNCDC-58-174,PUNHNZ-58-133.39999999999998,PUNH2-58-156.60000000000002
48/27/2023,PUNCDC-59-177,PUNHNZ-59-135.7,PUNH2-59-159.3
47/12/2023,PUNCDC-60-180,PUNHNZ-60-138,PUNH2-60-162
55/08/2023,PUNCDC-61-183,PUNHNZ-61-140.29999999999998,PUNH2-61-164.70000000000002
22/15/2024,PUNCDC-62-186,PUNHNZ-62-142.6,PUNH2-62-167.4
20/23/2024,PUNCDC-63-189,PUNHNZ-63-144.89999999999998,PUNH2-63-170.10000000000002
48/21/2024,PUNCDC-64-192,PUNHNZ-64-147.2,PUNH2-64-172.8
51/14/2024,PUNCDC-65-195,PUNHNZ-65-149.5,PUNH2-65-175.5
55/05/2023,PUNCDC-66-198,PUNHNZ-66-151.79999999999998,PUNH2-66-178.20000000000002
08/06/2023,PUNCDC-67-201,PUNHNZ-67-154.1,PUNH2-67-180.9
01/22/2023,PUNCDC-68-204,PUNHNZ-68-156.39999999999998,PUNH2-68-183.60000000000002
56/19/2024,PUNCDC-69-207,PUNHNZ-69-158.7,PUNH2-69-186.3
21/13/2024,PUNCDC-70-210,PUNHNZ-70-161,PUNH2-70-189
15/16/2023,PUNCDC-71-213,PUNHNZ-71-163.29999999999998,PUNH2-71-191.70000000000002
12/03/2024,PUNCDC-72-216,PUNHNZ-72-165.6,PUNH2-72-194.4
48/02/2023,PUNCDC-73-219,PUNHNZ-73-167.89999999999998,PUNH2-73-197.10000000000002
30/10/2024,PUNCDC-74-222,PUNHNZ-74-170.2,PUNH2-74-199.8
05/06/2024,PUNCDC-75-225,PUNHNZ-75-172.5,PUNH2-75-202.5
26/31/2024,PUNCDC-76-228,PUNHNZ-76-174.79999999999998,PUNH2-76-205.20000000000002
45/13/2024,PUNCDC-77-231,PUNHNZ-77-177.1,PUNH2-77-207.9
44/13/2023,PUNCDC-78-234,PUNHNZ-78-179.39999999999998,PUNH2-78-210.60000000000002
03/30/2023,PUNCDC-79-237,PUNHNZ-79-181.7,PUNH2-79-213.3
37/13/2024,PUNCDC-80-240,PUNHNZ-80-184,PUNH2-80-216
10/24/2023,PUNCDC-81-243,PUNHNZ-81-186.29999999999998,PUNH2-81-218.70000000000002
37/10/2024,PUNCDC-82-246,PUNHNZ-82-188.6,PUNH2-82-221.4
16/31/2023,PUNCDC-83-249,PUNHNZ-83-190.89999999999998,PUNH2-83-224.10000000000002
53/05/2024,PUNCDC-84-252,PUNHNZ-84-193.2,PUNH2-84-226.8
08/27/2023,PUNCDC-85-255,PUNHNZ-85-195.49999999999997,PUNH2-85-229.50000000000003
31/03/2024,PUNCDC-86-258,PUNHNZ-86-197.79999999999998,PUNH2-86-232.20000000000002
36/27/2024,PUNCDC-87-261,PUNHNZ-87-200.1,PUNH2-87-234.9
20/21/2024,PUNCDC-88-264,PUNHNZ-88-202.39999999999998,PUNH2-88-237.60000000000002
25/30/2023,PUNCDC-89-267,PUNHNZ-89-204.7,PUNH2-89-240.3
37/15/2023,PUNCDC-90-270,PUNHNZ-90-206.99999999999997,PUNH2-90-243.00000000000003
05/27/2023,PUNCDC-91-273,PUNHNZ-91-209.29999999999998,PUNH2-91-245.70000000000002
19/06/2024,PUNCDC-92-276,PUNHNZ-92-211.6,PUNH2-92-248.4
31/16/2024,PUNCDC-93-279,PUNHNZ-93-213.89999999999998,PUNH2-93-251.10000000000002
49/07/2024,PUNCDC-94-282,PUNHNZ-94-216.2,PUNH2-94-253.8
31/16/2024,PUNCDC-95-285,PUNHNZ-95-218.49999999999997,PUNH2-95-256.5
45/22/2023,PUNCDC-96-288,PUNHNZ-96-220.79999999999998,PUNH2-96-259.20000000000005
04/14/2024,PUNCDC-97-291,PUNHNZ-97-223.1,PUNH2-97-261.90000000000003
33/31/2024,PUNCDC-98-294,PUNHNZ-98-225.39999999999998,PUNH2-98-264.6
08/12/2024,PUNCDC-99-297,PUNHNZ-99-227.7,PUNH2-99-267.3
16/12/2023,PUNCDC-100-300,PUNHNZ-100-229.99999999999997,PUNH2-100-270
16/22/2023,PUNCDC-101-303,PUNHNZ-101-232.29999999999998,PUNH2-101-272.70000000000005
13/11/2024,PUNCDC-102-306,PUNHNZ-102-234.6,PUNH2-102-275.40000000000003
27/06/2023,PUNCDC-103-309,PUNHNZ-103-236.89999999999998,PUNH2-103-278.1
59/15/2023,PUNCDC-104-312,PUNHNZ-104-239.2,PUNH2-104-280.8
02/26/2024,PUNCDC-105-315,PUNHNZ-105-241.49999999999997,PUNH2-105-283.5
16/16/2024,PUNCDC-106-318,PUNHNZ-106-243.79999999999998,PUNH2-106-286.20000000000005
14/09/2023,PUNCDC-107-321,PUNHNZ-107-246.1,PUNH2-107-288.90000000000003
48/07/2024,PUNCDC-108-324,PUNHNZ-108-248.39999999999998,PUNH2-108-291.6
36/25/2024,PUNCDC-109-327,PUNHNZ-109-250.7,PUNH2-109-294.3
01/22/2024,PUNCDC-110-330,PUNHNZ-110-252.99999999999997,PUNH2-110-297
02/21/2023,PUNCDC-111-333,PUNHNZ-111-255.29999999999998,PUNH2-111-299.70000000000005
12/31/2023,PUNCDC-112-336,PUNHNZ-112-257.59999999999997,PUNH2-112-302.40000000000003
27/10/2023,PUNCDC-113-339,PUNHNZ-113-259.9,PUNH2-113-305.1
33/08/2024,PUNCDC-114-342,PUNHNZ-114-262.2,PUNH2-114-307.8
19/20/2024,PUNCDC-115-345,PUNHNZ-115-264.5,PUNH2-115-310.5
04/31/2023,PUNCDC-116-348,PUNHNZ-116-266.79999999999995,PUNH2-116-313.20000000000005
58/12/2023,PUNCDC-117-351,PUNHNZ-117-269.09999999999997,PUNH2-117-315.90000000000003
33/29/2024,PUNCDC-118-354,PUNHNZ-118-271.4,PUNH2-118-318.6
37/16/2024,PUNCDC-119-357,PUNHNZ-119-273.7,PUNH2-119-321.3
14/04/2024,PUNCDC-120-360,PUNHNZ-120-276,PUNH2-120-324
51/22/2024,PUNCDC-121-363,PUNHNZ-121-278.29999999999995,PUNH2-121-326.70000000000005
36/22/2023,PUNCDC-122-366,PUNHNZ-122-280.59999999999997,PUNH2-122-329.40000000000003
02/25/2024,PUNCDC-123-369,PUNHNZ-123-282.9,PUNH2-123-332.1
05/13/2024,PUNCDC-124-372,PUNHNZ-124-285.2,PUNH2-124-334.8
03/29/2023,PUNCDC-125-375,PUNHNZ-125-287.5,PUNH2-125-337.5
34/11/2024,PUNCDC-126-378,PUNHNZ-126-289.79999999999995,PUNH2-126-340.20000000000005
13/24/2023,PUNCDC-127-381,PUNHNZ-127-292.09999999999997,PUNH2-127-342.90000000000003
04/21/2024,PUNCDC-128-384,PUNHNZ-128-294.4,PUNH2-128-345.6
06/08/2024,PUNCDC-129-387,PUNHNZ-129-296.7,PUNH2-129-348.3
14/02/2024,PUNCDC-130-390,PUNHNZ-130-299,PUNH2-130-351
02/19/2023,PUNCDC-131-393,PUNHNZ-131-301.29999999999995,PUNH2-131-353.70000000000005
16/03/2023,PUNCDC-132-396,PUNHNZ-132-303.59999999999997,PUNH2-132-356.40000000000003
34/20/2023,PUNCDC-133-399,PUNHNZ-133-305.9,PUNH2-133-359.1
12/06/2024,PUNCDC-134-402,PUNHNZ-134-308.2,PUNH2-134-361.8
13/05/2024,PUNCDC-135-405,PUNHNZ-135-310.5,PUNH2-135-364.5
37/11/2024,PUNCDC-136-408,PUNHNZ-136-312.79999999999995,PUNH2-136-367.20000000000005
49/05/2024,PUNCDC-137-411,PUNHNZ-137-315.09999999999997,PUNH2-137-369.90000000000003
47/29/2023,PUNCDC-138-414,PUNHNZ-138-317.4,PUNH2-138-372.6
30/26/2023,PUNCDC-139-417,PUNHNZ-139-319.7,PUNH2-139-375.3
05/30/2024,PUNCDC-140-420,PUNHNZ-140-322,PUNH2-140-378
33/17/2024,PUNCDC-141-423,PUNHNZ-141-324.29999999999995,PUNH2-141-380.70000000000005
35/29/2023,PUNCDC-142-426,PUNHNZ-142-326.59999999999997,PUNH2-142-383.40000000000003
58/15/2024,PUNCDC-143-429,PUNHNZ-143-328.9,PUNH2-143-386.1
40/14/2023,PUNCDC-144-432,PUNHNZ-144-331.2,PUNH2-144-388.8
45/29/2023,PUNCDC-145-435,PUNHNZ-145-333.5,PUNH2-145-391.5
17/19/2023,PUNCDC-146-438,PUNHNZ-146-335.79999999999995,PUNH2-146-394.20000000000005
57/13/2023,PUNCDC-147-441,PUNHNZ-147-338.09999999999997,PUNH2-147-396.90000000000003
09/18/2024,PUNCDC-148-444,PUNHNZ-148-340.4,PUNH2-148-399.6
43/24/2023,PUNCDC-149-447,PUNHNZ-149-342.7,PUNH2-149-402.3
03/07/2024,PUNCDC-150-450,PUNHNZ-150-345,PUNH2-150-405
41/22/2024,PUNCDC-151-453,PUNHNZ-151-347.29999999999995,PUNH2-151-407.70000000000005
46/22/2024,PUNCDC-152-456,PUNHNZ-152-349.59999999999997,PUNH2-152-410.40000000000003
16/11/2024,PUNCDC-153-459,PUNHNZ-153-351.9,PUNH2-153-413.1
06/05/2024,PUNCDC-154-462,PUNHNZ-154-354.2,PUNH2-154-415.8
02/27/2023,PUNCDC-155-465,PUNHNZ-155-356.5,PUNH2-155-418.5
37/15/2024,PUNCDC-156-468,PUNHNZ-156-358.79999999999995,PUNH2-156-421.20000000000005
21/24/2023,PUNCDC-157-471,PUNHNZ-157-361.09999999999997,PUNH2-157-423.90000000000003
51/08/2024,PUNCDC-158-474,PUNHNZ-158-363.4,PUNH2-158-426.6
39/07/2024,PUNCDC-159-477,PUNHNZ-159-365.7,PUNH2-159-429.3
56/22/2024,PUNCDC-160-480,PUNHNZ-160-368,PUNH2-160-432
34/25/2024,PUNCDC-161-483,PUNHNZ-161-370.29999999999995,PUNH2-161-434.70000000000005
42/13/2024,PUNCDC-162-486,PUNHNZ-162-372.59999999999997,PUNH2-162-437.40000000000003
37/22/2023,PUNCDC-163-489,PUNHNZ-163-374.9,PUNH2-163-440.1
12/15/2023,PUNCDC-164-492,PUNHNZ-164-377.2,PUNH2-164-442.8
27/13/2024,PUNCDC-165-495,PUNHNZ-165-379.49999999999994,PUNH2-165-445.50000000000006
00/31/2024,PUNCDC-166-498,PUNHNZ-166-381.79999999999995,PUNH2-166-448.20000000000005
26/18/2024,PUNCDC-167-501,PUNHNZ-167-384.09999999999997,PUNH2-167-450.90000000000003
19/05/2024,PUNCDC-168-504,PUNHNZ-168-386.4,PUNH2-168-453.6
19/19/2023,PUNCDC-169-507,PUNHNZ-169-388.7,PUNH2-169-456.3
10/08/2024,PUNCDC-170-510,PUNHNZ-170-390.99999999999994,PUNH2-170-459.00000000000006
15/10/2023,PUNCDC-171-513,PUNHNZ-171-393.29999999999995,PUNH2-171-461.70000000000005
36/12/2024,PUNCDC-172-516,PUNHNZ-172-395.59999999999997,PUNH2-172-464.40000000000003
25/18/2024,PUNCDC-173-519,PUNHNZ-173-397.9,PUNH2-173-467.1
26/03/2023,PUNCDC-174-522,PUNHNZ-174-400.2,PUNH2-174-469.8
14/31/2024,PUNCDC-175-525,PUNHNZ-175-402.49999999999994,PUNH2-175-472.50000000000006
40/30/2023,PUNCDC-176-528,PUNHNZ-176-404.79999999999995,PUNH2-176-475.20000000000005
25/18/2024,PUNCDC-177-531,PUNHNZ-177-407.09999999999997,PUNH2-177-477.90000000000003
36/04/2023,PUNCDC-178-534,PUNHNZ-178-409.4,PUNH2-178-480.6
36/08/2024,PUNCDC-179-537,PUNHNZ-179-411.7,PUNH2-179-483.3
30/28/2024,PUNCDC-180-540,PUNHNZ-180-413.99999999999994,PUNH2-180-486.00000000000006
26/23/2023,PUNCDC-181-543,PUNHNZ-181-416.29999999999995,PUNH2-181-488.70000000000005
21/23/2023,PUNCDC-182-546,PUNHNZ-182-418.59999999999997,PUNH2-182-491.40000000000003
58/01/2024,PUNCDC-183-549,PUNHNZ-183-420.9,PUNH2-183-494.1
32/20/2024,PUNCDC-184-552,PUNHNZ-184-423.2,PUNH2-184-496.8
24/29/2024,PUNCDC-185-555,PUNHNZ-185-425.49999999999994,PUNH2-185-499.50000000000006
17/18/2023,PUNCDC-186-558,PUNHNZ-186-427.79999999999995,PUNH2-186-502.20000000000005
56/14/2023,PUNCDC-187-561,PUNHNZ-187-430.09999999999997,PUNH2-187-504.90000000000003
58/17/2023,PUNCDC-188-564,PUNHNZ-188-432.4,PUNH2-188-507.6
41/23/2024,PUNCDC-189-567,PUNHNZ-189-434.7,PUNH2-189-510.3
31/09/2024,PUNCDC-190-570,PUNHNZ-190-436.99999999999994,PUNH2-190-513
18/29/2023,PUNCDC-191-573,PUNHNZ-191-439.29999999999995,PUNH2-191-515.7
00/06/2023,PUNCDC-192-576,PUNHNZ-192-441.59999999999997,PUNH2-192-518.4000000000001
21/31/2023,PUNCDC-193-579,PUNHNZ-193-443.9,PUNH2-193-521.1
40/14/2024,PUNCDC-194-582,PUNHNZ-194-446.2,PUNH2-194-523.8000000000001
35/05/2024,PUNCDC-195-585,PUNHNZ-195-448.49999999999994,PUNH2-195-526.5
04/29/2024,PUNCDC-196-588,PUNHNZ-196-450.79999999999995,PUNH2-196-529.2
02/28/2023,PUNCDC-197-591,PUNHNZ-197-453.09999999999997,PUNH2-197-531.9000000000001
22/17/2024,PUNCDC-198-594,PUNHNZ-198-455.4,PUNH2-198-534.6
14/23/2023,PUNCDC-199-597,PUNHNZ-199-457.7,PUNH2-199-537.3000000000001
05/04/2024,PUNCDC-200-600,PUNHNZ-200-459.99999999999994,PUNH2-200-540
34/23/2024,PUNCDC-201-603,PUNHNZ-201-462.29999999999995,PUNH2-201-542.7
27/13/2024,PUNCDC-202-606,PUNHNZ-202-464.59999999999997,PUNH2-202-545.4000000000001
17/27/2023,PUNCDC-203-609,PUNHNZ-203-466.9,PUNH2-203-548.1
04/07/2023,PUNCDC-204-612,PUNHNZ-204-469.2,PUNH2-204-550.8000000000001
50/24/2023,PUNCDC-205-615,PUNHNZ-205-471.49999999999994,PUNH2-205-553.5
02/07/2024,PUNCDC-206-618,PUNHNZ-206-473.79999999999995,PUNH2-206-556.2
08/17/2023,PUNCDC-207-621,PUNHNZ-207-476.09999999999997,PUNH2-207-558.9000000000001
52/05/2023,PUNCDC-208-624,PUNHNZ-208-478.4,PUNH2-208-561.6
43/10/2024,PUNCDC-209-627,PUNHNZ-209-480.7,PUNH2-209-564.3000000000001
48/19/2024,PUNCDC-210-630,PUNHNZ-210-482.99999999999994,PUNH2-210-567
18/30/2024,PUNCDC-211-633,PUNHNZ-211-485.29999999999995,PUNH2-211-569.7
52/22/2024,PUNCDC-212-636,PUNHNZ-212-487.59999999999997,PUNH2-212-572.4000000000001
07/07/2023,PUNCDC-213-639,PUNHNZ-213-489.9,PUNH2-213-575.1
53/03/2024,PUNCDC-214-642,PUNHNZ-214-492.2,PUNH2-214-577.8000000000001
47/19/2023,PUNCDC-215-645,PUNHNZ-215-494.49999999999994,PUNH2-215-580.5
06/10/2023,PUNCDC-216-648,PUNHNZ-216-496.79999999999995,PUNH2-216-583.2
45/11/2023,PUNCDC-217-651,PUNHNZ-217-499.09999999999997,PUNH2-217-585.9000000000001
25/10/2024,PUNCDC-218-654,PUNHNZ-218-501.4,PUNH2-218-588.6
07/20/2023,PUNCDC-219-657,PUNHNZ-219-503.7,PUNH2-219-591.3000000000001
10/01/2024,PUNCDC-220-660,PUNHNZ-220-505.99999999999994,PUNH2-220-594
58/20/2023,PUNCDC-221-663,PUNHNZ-221-508.29999999999995,PUNH2-221-596.7
19/21/2023,PUNCDC-222-666,PUNHNZ-222-510.59999999999997,PUNH2-222-599.4000000000001
18/10/2023,PUNCDC-223-669,PUNHNZ-223-512.9,PUNH2-223-602.1
02/31/2023,PUNCDC-224-672,PUNHNZ-224-515.1999999999999,PUNH2-224-604.8000000000001
39/23/2023,PUNCDC-225-675,PUNHNZ-225-517.5,PUNH2-225-607.5
40/19/2024,PUNCDC-226-678,PUNHNZ-226-519.8,PUNH2-226-610.2
02/22/2024,PUNCDC-227-681,PUNHNZ-227-522.0999999999999,PUNH2-227-612.9000000000001
07/13/2023,PUNCDC-228-684,PUNHNZ-228-524.4,PUNH2-228-615.6
54/25/2023,PUNCDC-229-687,PUNHNZ-229-526.6999999999999,PUNH2-229-618.3000000000001
35/29/2024,PUNCDC-230-690,PUNHNZ-230-529,PUNH2-230-621
42/13/2023,PUNCDC-231-693,PUNHNZ-231-531.3,PUNH2-231-623.7
47/18/2024,PUNCDC-232-696,PUNHNZ-232-533.5999999999999,PUNH2-232-626.4000000000001
31/05/2024,PUNCDC-233-699,PUNHNZ-233-535.9,PUNH2-233-629.1
10/20/2023,PUNCDC-234-702,PUNHNZ-234-538.1999999999999,PUNH2-234-631.8000000000001
32/08/2023,PUNCDC-235-705,PUNHNZ-235-540.5,PUNH2-235-634.5
19/21/2024,PUNCDC-236-708,PUNHNZ-236-542.8,PUNH2-236-637.2
24/20/2023,PUNCDC-237-711,PUNHNZ-237-545.0999999999999,PUNH2-237-639.9000000000001
30/30/2023,PUNCDC-238-714,PUNHNZ-238-547.4,PUNH2-238-642.6
21/10/2023,PUNCDC-239-717,PUNHNZ-239-549.6999999999999,PUNH2-239-645.3000000000001
11/14/2024,PUNCDC-240-720,PUNHNZ-240-552,PUNH2-240-648
53/10/2023,PUNCDC-241-723,PUNHNZ-241-554.3,PUNH2-241-650.7
31/10/2023,PUNCDC-242-726,PUNHNZ-242-556.5999999999999,PUNH2-242-653.4000000000001
10/06/2024,PUNCDC-243-729,PUNHNZ-243-558.9,PUNH2-243-656.1
41/30/2023,PUNCDC-244-732,PUNHNZ-244-561.1999999999999,PUNH2-244-658.8000000000001
12/24/2024,PUNCDC-245-735,PUNHNZ-245-563.5,PUNH2-245-661.5
04/26/2023,PUNCDC-246-738,PUNHNZ-246-565.8,PUNH2-246-664.2
41/22/2024,PUNCDC-247-741,PUNHNZ-247-568.0999999999999,PUNH2-247-666.9000000000001
23/04/2023,PUNCDC-248-744,PUNHNZ-248-570.4,PUNH2-248-669.6
48/30/2023,PUNCDC-249-747,PUNHNZ-249-572.6999999999999,PUNH2-249-672.3000000000001
52/04/2024,PUNCDC-250-750,PUNHNZ-250-575,PUNH2-250-675
03/08/2023,PUNCDC-251-753,PUNHNZ-251-577.3,PUNH2-251-677.7
30/11/2024,PUNCDC-252-756,PUNHNZ-252-579.5999999999999,PUNH2-252-680.4000000000001
46/25/2024,PUNCDC-253-759,PUNHNZ-253-581.9,PUNH2-253-683.1
30/20/2023,PUNCDC-254-762,PUNHNZ-254-584.1999999999999,PUNH2-254-685.8000000000001
22/27/2023,PUNCDC-255-765,PUNHNZ-255-586.5,PUNH2-255-688.5
02/09/2024,PUNCDC-256-768,PUNHNZ-256-588.8,PUNH2-256-691.2
34/16/2023,PUNCDC-257-771,PUNHNZ-257-591.0999999999999,PUNH2-257-693.9000000000001
49/15/2023,PUNCDC-258-774,PUNHNZ-258-593.4,PUNH2-258-696.6
32/09/2023,PUNCDC-259-777,PUNHNZ-259-595.6999999999999,PUNH2-259-699.3000000000001
22/31/2023,PUNCDC-260-780,PUNHNZ-260-598,PUNH2-260-702
09/27/2024,PUNCDC-261-783,PUNHNZ-261-600.3,PUNH2-261-704.7
28/08/2024,PUNCDC-262-786,PUNHNZ-262-602.5999999999999,PUNH2-262-707.4000000000001
17/11/2024,PUNCDC-263-789,PUNHNZ-263-604.9,PUNH2-263-710.1
16/02/2024,PUNCDC-264-792,PUNHNZ-264-607.1999999999999,PUNH2-264-712.8000000000001
53/24/2024,PUNCDC-265-795,PUNHNZ-265-609.5,PUNH2-265-715.5
41/09/2024,PUNCDC-266-798,PUNHNZ-266-611.8,PUNH2-266-718.2
14/13/2023,PUNCDC-267-801,PUNHNZ-267-614.0999999999999,PUNH2-267-720.9000000000001
04/18/2024,PUNCDC-268-804,PUNHNZ-268-616.4,PUNH2-268-723.6
44/27/2024,PUNCDC-269-807,PUNHNZ-269-618.6999999999999,PUNH2-269-726.3000000000001
58/24/2023,PUNCDC-270-810,PUNHNZ-270-621,PUNH2-270-729
15/22/2024,PUNCDC-271-813,PUNHNZ-271-623.3,PUNH2-271-731.7
02/02/2023,PUNCDC-272-816,PUNHNZ-272-625.5999999999999,PUNH2-272-734.4000000000001
42/01/2023,PUNCDC-273-819,PUNHNZ-273-627.9,PUNH2-273-737.1
39/29/2023,PUNCDC-274-822,PUNHNZ-274-630.1999999999999,PUNH2-274-739.8000000000001
18/21/2024,PUNCDC-275-825,PUNHNZ-275-632.5,PUNH2-275-742.5
59/01/2024,PUNCDC-276-828,PUNHNZ-276-634.8,PUNH2-276-745.2
10/31/2023,PUNCDC-277-831,PUNHNZ-277-637.0999999999999,PUNH2-277-747.9000000000001
05/12/2023,PUNCDC-278-834,PUNHNZ-278-639.4,PUNH2-278-750.6
06/25/2024,PUNCDC-279-837,PUNHNZ-279-641.6999999999999,PUNH2-279-753.3000000000001
18/28/2023,PUNCDC-280-840,PUNHNZ-280-644,PUNH2-280-756
03/01/2023,PUNCDC-281-843,PUNHNZ-281-646.3,PUNH2-281-758.7
03/24/2024,PUNCDC-282-846,PUNHNZ-282-648.5999999999999,PUNH2-282-761.4000000000001
32/13/2024,PUNCDC-283-849,PUNHNZ-283-650.9,PUNH2-283-764.1
04/28/2024,PUNCDC-284-852,PUNHNZ-284-653.1999999999999,PUNH2-284-766.8000000000001
42/04/2023,PUNCDC-285-855,PUNHNZ-285-655.5,PUNH2-285-769.5
17/19/2024,PUNCDC-286-858,PUNHNZ-286-657.8,PUNH2-286-772.2
34/18/2023,PUNCDC-287-861,PUNHNZ-287-660.0999999999999,PUNH2-287-774.9000000000001
52/05/2023,PUNCDC-288-864,PUNHNZ-288-662.4,PUNH2-288-777.6
06/10/2024,PUNCDC-289-867,PUNHNZ-289-664.6999999999999,PUNH2-289-780.3000000000001
50/05/2023,PUNCDC-290-870,PUNHNZ-290-667,PUNH2-290-783
37/19/2024,PUNCDC-291-873,PUNHNZ-291-669.3,PUNH2-291-785.7
05/20/2023,PUNCDC-292-876,PUNHNZ-292-671.5999999999999,PUNH2-292-788.4000000000001
28/17/2024,PUNCDC-293-879,PUNHNZ-293-673.9,PUNH2-293-791.1
35/31/2023,PUNCDC-294-882,PUNHNZ-294-676.1999999999999,PUNH2-294-793.8000000000001
23/25/2024,PUNCDC-295-885,PUNHNZ-295-678.5,PUNH2-295-796.5
